product_uuid,actual_price,selling_price,average_rating,brand,category,out_of_stock,product_id,seller,sub_category,title,discount
e1d17155-a825-5f39-9ae3-2ba45c98a42b,2469.0,499.0,2.7,Unknown,Clothing and Accessories,0,CTPFVZHFTSBTMH9M,NextEdgeRetails,Clothing Accessories,nu-Lite Satin Tie & Cufflink  (Blue),79.0
9eb1787a-ff3d-593b-9cd0-71ba09ca31c5,2469.0,499.0,2.7,Unknown,Clothing and Accessories,0,CTPFVZTPGHGVFCFE,NextEdgeRetails,Clothing Accessories,nu-Lite Satin Tie & Cufflink  (Multicolor),79.0
153de2b9-46d5-5f89-8f20-632d00be5b1d,1539.0,349.0,4.3,Unknown,Clothing and Accessories,0,CTPFVPHDCSXN6FCY,NextEdgeRetails,Clothing Accessories,nu-Lite Satin Tie & Cufflink  (Red),77.0
9d95c319-399c-5207-88cb-2a404c9933e0,2599.0,499.0,2.7,Unknown,Clothing and Accessories,0,CTPFVPMTY2HZYSRR,NextEdgeRetails,Clothing Accessories,nu-Lite Satin Tie & Cufflink  (Black),80.0
6cd3f4b1-6c47-5345-90ea-6b13b767be7c,2469.0,499.0,2.7,Unknown,Clothing and Accessories,0,CTPFVQNHMEYKN3GA,NextEdgeRetails,Clothing Accessories,nu-Lite Satin Tie & Cufflink  (Black),79.0
00379264-3e9e-5797-8ed9-3161784d77fc,3299.0,599.0,2.7,Unknown,Clothing and Accessories,0,CTPFVZTCQC7ZFWSH,NextEdgeRetails,Clothing Accessories,nu-Lite Satin Tie & Cufflink  (Black),81.0
61ea031d-bcfb-5bb4-a486-0a21a1a0aaa2,2469.0,499.0,2.7,Unknown,Clothing and Accessories,0,CTPFVSSQHD96FH9Z,NextEdgeRetails,Clothing Accessories,nu-Lite Satin Tie & Cufflink  (Red),79.0
45566554-dda8-5a20-b906-770b83992027,2469.0,499.0,2.7,Unknown,Clothing and Accessories,0,CTPFVZEYHCRQ27Y2,NextEdgeRetails,Clothing Accessories,nu-Lite Satin Tie & Cufflink  (Multicolor),79.0
a68e94f6-a777-5493-8d9b-bdab91f20586,1539.0,499.0,3.8,Unknown,Clothing and Accessories,1,CTPFVPZDEQYYBKCT,Unknown,Clothing Accessories,nu-Lite Satin Tie & Cufflink  (Multicolor),67.0
540658a8-246a-5e27-8392-cb3b8ac6425b,2469.0,499.0,4.3,Unknown,Clothing and Accessories,0,CTPFVPZGUAYCWCKF,NextEdgeRetails,Clothing Accessories,nu-Lite Satin Tie & Cufflink  (Multicolor),79.0
